Základní otázky
*easyQuestions
Kdo byl prvním československým prezidentem po 2 sv. v.?;Edvard Beneš;T. G. Masaryk;Klement Gottwald;Václav Havel
Co je to anténa?;zařízení k vysílání a přijmu elmag. vln;hudební nástroj;módní doplněk;paměťové zařízení
V jaké zemi leží Paříž?;Francie;Itálie;Belgie;USA
Kolik kilogramů má jeden metrický cent?;100;50;0,1;1000
Kolik dní má přestupný rok?;366;365;360;188
Jaké je hlavní město Německa?;Berlín;Frankfurt;Mnichov;Brusel
Který z těchto hudebních nástrojů nepatří mezi strunné?;trombón;loutna;cimbál;klavír
Která částice se není součástí standardního modelu atomu?;foton;elektron;proton;neutron
Kolik obyvatel má Brno (2018)?;380 000;510 000;710 000;260 000
Automobil které značky proslul tím, že měl karoserii z umělé hmoty?;Trabant;Škoda;Tatra;Fiat
Které z těchto pohoří se nachází nejjižněji?;Šumava;Krušné hory;Jeseníky;Krkonoše
Která mezinárodní organizace se zabývá ochranou dětí?;UNICEF;UNESCO;WHO;OECD
Jak se jmenuje nevyšší hora Evropy?;Mont Blanc;Mont Everest;Grossglockner;Sněžka
Jak je označován proces rozvolňování komunistického režimu v Československu, ke kterému došlo v první polovině roku 1968?;pražské jaro;normalizace;perestrojka;kolektivizace
Na kterém kontinentu leží Francouzská Guyana?;Jižní Amerika;Evropa;Asie;Afrika
Kdo napsal román 20 000 mil pod mořem?;Jules Verne;Karel Čapek;Oscar Wilde;Ernst Hemingway
*mediumQuestions
Jaké město v Číně má nejvíce obyvatel?;Peking;Šanghaj;Tokio;Tibet
Jak vysoká (přibližně) je Eiffelova věž?;300 m;250 m;180 m;340 m
Kde leží ostrov Korsika?;ve Středozemním moři;v Karibiku;v Indonésii;v Indickém oceánu
Na kterém světadílu se nachází Zambie?;Afrika;Asie;Jižní Amerika;Evropa
Kdo napsal hru Strakonický dudák?;Josef Kajetán Tyl;Jaroslav Vrchlický;Molière;Václav Havel
Kolik obyvatel (přibližně) má Rakousko?;7,8 milionu;5,4 milionu;9 milionů;3,9 milionu
Který obor fyziky se podrobně zabývá stavbou a umístěním elementárních částic?;kvantová fyzika;mechanika;optika;termodynamika
Která firma vlastní původně českého výrobce autobusů Karosa?;Iveco;Daimler AG;Volkswagen AG;Volvo Group
Jaká je nejvyšší povolená rychlost jízdy na českých železnicích?;160 km/h;200 km/h;130 km/h;140 km/h
Kdy vzniká tzv. Dopplerův efekt?;pokud se zdroj a příjemce vlny vzájemně pohybují;při průtoku kapaliny úzkým otvorem;po připojení obvodu s cívkou ke zdroji;při pohybu vodiče v magnetickém poli
Kdo napsal komedii Sen noci svatojánské?;William Shakespeare;Molière;Miguel de Cervantes y Saavedra;Jean Racin
Kterému státu patří Špicberky?;Norsko;Dánsko;Velká Británie;Švédsko
Jaký je v ČR minimální zákonem stanovený dezén letní pneumatiky?;1,6 mm;2,1 mm;4 mm;2 mm
Odkud pocházel vojevůdce Hannibal?;z Kartága;z Říma;z Řecka;z Persie
Kolik kilometrů je (přibližně) z Prahy do Brna?;200;150;300;350
Kdo vynalezl dynamit?;Alfred Nobel;Albert Einstein;Thomas Edison;Prokop Diviš
Který z těchto ptáků nepatří mezi stěhovavé?;Straka obecná;Drozd zpěvný;Husa polní;Volavka popelavá
Kdo režíroval oskarový film Kolja?;Jan Svěrák;Zdeněk Svěrák;Ladislav Smoljak;Jiří Menzel
Ve kterém městě sídli Univerzita Palackého?;Olomouc;Plzeň;Ostrava;Brno
*hardQuestions
Kdo složil operu Její pastorkyňa?;Leoš Janáček;Bedřich Smetana;Antonio Vivaldi;Richard Wagner
Kde se nachází budova Pentagonu?;Washington;New York;Houston;San Francisco
Kdo vynalezl telefon?;Graham Bell;Steve Jobs;Thomas Edison;Nicola Tesla
Kdo byl Rasputin?;ruský mnich;běloruský diktátor;zástupce Stalina;vůdčí postava říjnové revoluce
Který z těchto pojmů označuje oboustranně výhodné soužití organismů?;mutualismus;komenzalismus;symbióza;biocenóza
Co označuje zkratka SIS?;britskou rozvědku;americký samopal;ruský raketový systém;skupinu vesmírných teleskopů na Havajských ostrovech
Kdo/co to je konus?;předmět kuželovitého tvaru;středověký církevní hodnostář;exotický hudební nástroj;staročeský výraz pro „konec“
Kdo je autorem románu Něžná je noc?;Francis Scott Fitzgerald;Ken Kesey;Ernst Hemingway;Ian McEwan
Během jakého vrásnění vznikl Český masiv?;Hercynské vrásnění;Kaledonské vrásnění;Alpsko-himálajské vrásnění;Karpatské vrásnění
Kde sídlil hlavní štáb československé armády za všeobecné mobilizace v roce 1938?;v zámku Račice u Vyškova;na Vítězném náměstí v Praze;v Černínském paláci;v zámku Litomyšl
Co je to limnologie?;nauka o jezerech;obor biologie zabývající se citrusy;nauka o vzdušných proudech;nauka o větné stavbě
Kdo kandidoval proti Václavu Klausovi v prezidentských volbách v roce 2003?;Jan Sokol;Miloš Zeman;Miroslav Kalousek;Václav Havel
Který z těchto států uznal Tuvinskou aratskou republiku (1921-1944)?;SSSR;Chile;Jugoslávie;Egypt
Které české studio vvyvinulo počítačovou hru Kingdom Come: Deliverance?;Warhorse Studios;SCS Software;2K Czech;Bohemia Interactive
Ve kterém kraji leží obec Dačice?;Jihočeský kraj;Ústecký kraj;Olomoucký kraj;kraj Vysočina
