Gymšpit
*easyQuestions
Který z těchto profesorů neučí češtinu?;Eva Přechová;Ivana Zikmundová;Yvetta Veverková;Monika Boušková
Kolik je ve škole turniketů?;3;2;co to je turniket?;žádné
Kde se konala poslední Vánoční akademie?;KD Ládví;Salesiánské divadlo;Konkresové centrum;O2 Arena
Kdo je ředitelem gymnázia Špitálská?;Antonín Zajíc;Kateřina Bendlová;Andrej Babiš;Petr Daubner
Kolik tříd studuje současně na gymnáziu?;12;8;10;4
Jak se jmenuje vedoucí školní jídelny?;Jitka Sýkovorá;Alena Brabčáková;Ilona Šípková;Hana Novotná
Jak se jmenuje systém, který se používá ke klasifikaci studentů?;Bakaláři;Magistři;Inženýři;e-TŘÍDNICE
V kolikátém patře se nachází kopírka?;1;0;2;3
Ve kterém ročníku (osmiletého) studia studenti zpravidla jezdí na zájezd do Normandie?;septima;sexta;sekunda;kvarta
Kolik počítačových učeben se na škole nachází?;2;1;žádná;3
Od jakého subjektu si škola pronajímá fotbalové hřiště?;TJ Sokol Vysočany;Praha 9;ZŠ Špitálská;Český atletický svaz
Jak se v současnosti jmenuje školní časopis?;Špit;Co se špitá?;Špitálský magazín;GymŠpit Times
Kdo pravidelně moderuje Vánoční akademii a Filmšpit?;Stanislav Gottwald;Antonín Zajíc;Marek Eben;Ladislav Černý
Ve kterém ročníku (osmiletého) studia studenti zpravidla jezdí na zájezd do Švédska?;sekunda;kvarta;septima;kvinta
Který den končí možnost objednávání obědů na přístí týden?;středa;pátek;úterý;čtvrtek
Který jazyk se na škole nevyučuje?;ruština;němčina;francouzština;španělština
Jak se jmenuje náměstí, na jehož jižním okraji stojí budova školy?;náměstí OSN;Vysočanské náměstí;Kolbenovo náměstí;náměstí Lidových milicí
Co je to Vánoční laťka?;celoškolní soutěž ve skoku do výšky;natírání laťkového plotu v areálu školy;rozlučková akce s ocházejícími profesory;vánoční ozdoba umísťovaná na chodbách
Který profesor má na starost distribuci učebnic na nižším gymnáziu?;Miluše Ciburová;Eva Přechová;Ivana Zikmundová;Yvetta Veverková
Který z těchto profesorů učí hudební výchovu?;Eva Matošková;Hana Papežová;Eva Přechová;Jan Pretl
*mediumQuestions
V kolikátém patře se nachází školní knihovna?;4;2;3;1
Které zvíře se nevyskytuje mezi zaměstnanci školy?;jezevec;veverka;zajíc;sýkora
Jak probíhá hlasování o nejlepší snímek na Filmšpitu?;pomocí hlasovacích lístků;rozhoduje odborná porota;SMS hlasování;náhodný průzkum
Jakou přezdívku má kabinet na střeše školy?;Orlí hnízdo;Soví doupě;Čapí hnízdo;Husí bidílko
Ve kterém roce byl uveden film Láska Špitálská?;2018;2016;2019;ještě nebyl uveden
Které sporty se hrají na školních turnajích?;Florbal, fotbal, přehazovaná;Florbal, fotbal, volejbal;Fotbal, volejbal, košíková;Florbal, košíková, futsal
Od jakého roku je Antonín Zajíc ředitelem?;1996;2001;2009;1991
Ve které učebně byla dříve umístěna stará lednice?;jaz4;40;11;23
Kdo ztvárnil roli M ve snímku Krakenfall, studentské adaptaci filmů o agentovi 007?;Ivana Zikmundová;Yvetta Veverková;Petr Daubner;Antonín Zajíc
Kterým trestem profesorka Ciburová (pravděpodobně) nevyhrožuje studentům?;povinností zůstat po škole;zásah křídou;zásah cihlou;dezorientační pětka
Počítače kterého z výrobců jsou v počítačových učebnách?;HP;Dell;LG;Fujitsu
Který profesor se dostal do finále soutěže Zlatý Ámos?;Tereza Fousová;Stanislav Gottwald;Alice Šrámková;Ivana Zikmundová
Co to je Zajícův HOP?;nepravidelně vycházející bulvární plátek;soutěž ve skoku dalekém;přezdívka ředitelova automobilu;jednotka délky
Kdo učí nepovinný předmět Geopolitika?;Hana Blažková;Slavomír Scholz;Daniel Dohnal;externista
Která rubrika školního časopisu se zabývá zvláštími (až paranormálními) jevy, ke kterým ve škole dochází?;Nevěříte? Věřte!;Rozhovor s profesorem;Z deníčku konspirátora;Ať žijí duchové!
*hardQuestions
Kdo spolumoderoval Vánoční akademii v roce 2014?;Gabriela Šťastná;Radovan Beneš;David Trojan;David Balla
Kolik řad stolů je ve školní jídelně?;5;4;6;7
Z jakého roku pocházejí webové stránky školy?;2007;2009;2006;2010
Jak se jmenovalo gymnázium ve Špitálské ulici za komunistického režimu?;Lidových milicí;Klementa Gottwalda;Vítězného února;V. I. Lenina
Z jakého roku pochází stavba tzv. školičky?;1961;byla postavena společně s hlavní budovou;1985;1936
Co bylo tématem Projektového dne v roce 2017?;Život v Československu 1948-1989;Nadpřirozeno;Divoký západ;Zločin a trest
Který z těchto herců/hereček je absolventem Gymnázia Špitálská?;Lenka Vlasáková;Eliška Balzerová;Václav Neužil;Pavel Kříž
Kdo je tvůrcem kyvadla zavěšeného ke stropu učebny 33?;profesor Zeman;profesor Gottwald;školník;původ kyvadla není znám
Koho se nejvíc bojí hlavní protagonista seriálu Ředitel?;správce sítě;kolegyně Sovové;školníka;studentů
Kolikátý ročník akce „GymŠpit Gamejam“ proběhl v roce 2020?;první;druhý;pátý;sedmý
Jak skončilo vystoupení „Za dveřmi porady 2“ uvedené na Vánoční akademii 2013?;Petr Daubner odletěl na Měsíc;Daniel Dohnal vyhrál olympiádu;Jan Pretl se stal německým kancléřem;Antonín Zajíc si vykopal noru
Kdo režíroval studentský film 12 000 bodů pro Nebelvír (2015)?;Viola Bláhová a Julie Kulawiecová;Štěpán Krejčí;Mikuláš Hobzík;František Carda a Jan Mandík
Která firma provozuje objednávkový systém školní jídelny?;Barda SW, HW, s. r. o.;BAKALÁŘI software s.r.o.;SYSCOM Software spol. s r. o.;OKsystem a.s.
Ve které soutěži získali zástupci gymnázia Špitálská první místo (2019)?;Robosoutěž;Fyziklání;Pythagoriáda;zeměpisná olympiáda
Kdo/co to jsou podle časopisu Špit tzv. stropníci?;bytosti vydávající vůni oběda, který se ten den nevaří;hlodavci;pracovníci stavební firmy opravující stropy;skřítkové pracující jako ředitelovi pomocníci
